id,reviews,price,stars,yelp_category,state
281656475,21292,3.99,4,4,Games
281796108,161065,0,4,4,Productivity
281940292,188583,0,3.5,3.5,Weather
282614216,262241,0,4,4,Shopping
282935706,985920,0,4.5,4.5,Reference
283619399,8253,0.99,4,4,Games
283646709,119487,0,4,4,Finance
284035177,1126879,0,4,4,Music
284666222,1117,9.99,4.5,4.5,Utilities
284736660,7885,3.99,4,4,Games
284791396,76720,4.99,4.5,4.5,Games
284815117,105776,7.99,3.5,3.5,Games
284815942,479440,0,3.5,3.5,Utilities
284847138,119773,0,3.5,3.5,Finance
284862767,6340,4.99,4.5,4.5,Games
284876795,56194,0,4,4,Travel
284882215,2974676,0,3.5,3.5,Social Networking
284910350,223885,0,4,4,Travel
284993459,402925,0,4,4,Music
285005463,31456,2.99,4,4,Games
285946052,2929,1.99,4.5,4.5,Reference
285994151,11447,2.99,5,5,Games
286058814,137951,0,4,4,Sports
286070473,8,5.99,4.5,4.5,Business
286799607,3241,3.99,4,4,Music
286906691,5795,0,3.5,3.5,Health & Fitness
286911400,42316,0,3,3,Games
288113403,123215,0,3.5,3.5,Productivity
288120394,782,4.99,4,4,Music
288419283,3449,9.99,4,4,Weather
288429040,71856,0,3.5,3.5,Social Networking
289084315,13350,1.99,4.5,4.5,Health & Fitness
289446241,137,0.99,3,3,Entertainment
289523017,180087,0,3.5,3.5,Games
289894882,33426,0.99,4,4,Health & Fitness
290638154,293228,0,4,4,Music
290807369,21609,1.99,3.5,3.5,Entertainment
290986013,4684,4.99,4,4,Utilities
291430598,2104,2.99,4.5,4.5,Weather
292421271,41633,2.99,4,4,Games
292628469,3610,2.99,4.5,4.5,Photo & Video
292738169,4677,0,3,3,Music
293118835,30,3.99,3.5,3.5,Navigation
293523031,48905,0,4.5,4.5,Music
293573778,32,4.99,3,3,Navigation
293622097,446185,0,3.5,3.5,Travel
293760823,21825,1.99,3,3,Entertainment
293778748,508808,0,3,3,Games
294056623,57500,0,3,3,Sports
294536447,2576,1.99,4,4,Games
294631159,1572,1.99,4,4,Weather
294934058,3292,2.99,3,3,Business
295430577,8932,4.99,4.5,4.5,Education
295646461,495626,0,3.5,3.5,Weather
295759189,812,0.99,3,3,Lifestyle
295775656,1583,2.99,3.5,3.5,Lifestyle
296581815,113936,0,4.5,4.5,Food & Drink
297244048,2027,4.99,4,4,Entertainment
297332787,768,3.99,4,4,Education
297368629,373835,0,4,4,Health & Fitness
